"sg"	"sr"	"n"	"pvalue"	"qvalue"	"overlapVector"
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	221	36	1	0.380536389630856	0.613768370372349	"CSF1"
"HALLMARK_HEME_METABOLISM"	221	63	2	0.40574466918802	0.633976045606281	"LMO2 SNCA"
"HALLMARK_XENOBIOTIC_METABOLISM"	221	38	1	0.406609079675011	0.616074363143956	"IGF1"
"HALLMARK_MYC_TARGETS_V2"	221	16	0	0.448854540336272	0.66008020637687	""
"HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY"	221	19	0	0.507194099497833	0.724562999282619	""
"HALLMARK_MITOTIC_SPINDLE"	221	102	3	0.514772100698134	0.71496125096963	"FLNA MYH9 PKD2"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	221	21	0	0.542628952709421	0.733282368526244	""
"HALLMARK_ADIPOGENESIS"	221	54	1	0.592289278951548	0.779327998620458	"OMD"
"HALLMARK_BILE_ACID_METABOLISM"	221	27	0	0.634420978073545	0.813360228299417	""
"HALLMARK_G2M_CHECKPOINT"	221	97	2	0.694105472689334	0.867631840861667	"MEIS1 TGFB1"
"HALLMARK_PROTEIN_SECRETION"	221	34	0	0.718580293871556	0.865759390206694	""
"HALLMARK_PEROXISOME"	221	34	0	0.718580293871556	0.865759390206694	""
"HALLMARK_SPERMATOGENESIS"	221	47	0	0.827028010046135	0.961660476797831	""
"HALLMARK_DNA_REPAIR"	221	51	0	0.851117930885032	0.967179466914809	""
"HALLMARK_GLYCOLYSIS"	221	53	0	0.861879189510457	0.957643543900508	""
"HALLMARK_MTORC1_SIGNALING"	221	57	0	0.881133532745841	0.957753839941132	""
"HALLMARK_MYC_TARGETS_V1"	221	59	0	0.889733686380754	0.946525198277398	""
"HALLMARK_KRAS_SIGNALING_DN"	221	74	0	0.937271468695357	0.976324446557664	""
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	221	86	0	0.96009459941621	0.979688366751235	""
"HALLMARK_E2F_TARGETS"	221	92	0	0.968182652678687	0.968182652678687	""
