"Regulon"	"Size"	"NES"	"p.value"	"FDR"	"dataset"
"OPTN"	29	2.28	0.0228	0.214	"GSE14814"
"PIM2"	37	2.27	0.0231	0.215	"GSE14814"
"IL7R"	49	2.27	0.0235	0.215	"GSE14814"
"CD34"	43	2.26	0.0236	0.215	"GSE14814"
"LYL1"	64	2.26	0.0236	0.215	"GSE14814"
"TGFB1"	67	2.25	0.0243	0.22	"GSE14814"
"NPBWR2"	27	2.25	0.0245	0.221	"GSE14814"
"MICAL1"	50	2.24	0.0249	0.223	"GSE14814"
"CD44"	70	2.24	0.0249	0.223	"GSE14814"
"CX3CR1"	47	2.24	0.0252	0.225	"GSE14814"
"MX1"	56	2.23	0.0255	0.227	"GSE14814"
"S1PR4"	50	2.23	0.0257	0.227	"GSE14814"
"SYK"	29	2.23	0.026	0.229	"GSE14814"
"TBC1D2B"	69	2.22	0.0262	0.23	"GSE14814"
"RTN1"	42	2.22	0.0263	0.23	"GSE14814"
"SOX18"	32	2.21	0.0274	0.237	"GSE14814"
"TLR4"	36	2.2	0.0278	0.238	"GSE14814"
"MAX"	26	2.19	0.0283	0.241	"GSE14814"
"CXCL10"	32	2.18	0.029	0.244	"GSE14814"
"ARHGAP6"	60	2.18	0.0291	0.244	"GSE14814"
"CAMK1"	25	2.18	0.0291	0.244	"GSE14814"
"TNFAIP3"	74	2.17	0.0301	0.25	"GSE14814"
"CCL13"	32	2.17	0.0304	0.252	"GSE14814"
"ADRA2A"	38	2.15	0.0314	0.259	"GSE14814"
"ARHGEF18"	64	2.15	0.0319	0.262	"GSE14814"
"CAVIN1"	95	2.14	0.0323	0.265	"GSE14814"
"TRIM22"	94	2.14	0.0325	0.265	"GSE14814"
"SLC9A1"	36	2.13	0.0333	0.269	"GSE14814"
"RAB20"	39	2.13	0.0334	0.27	"GSE14814"
"CBFA2T3"	51	2.13	0.0335	0.27	"GSE14814"
"SECTM1"	31	2.12	0.0344	0.274	"GSE14814"
"HBEGF"	43	2.11	0.0345	0.274	"GSE14814"
"GRK5"	29	2.11	0.0352	0.278	"GSE14814"
"CCL2"	43	2.11	0.0353	0.278	"GSE14814"
"BTG2"	33	2.1	0.0355	0.278	"GSE14814"
"ZNF394"	32	2.1	0.0356	0.278	"GSE14814"
"HERPUD1"	64	2.1	0.0358	0.278	"GSE14814"
"MAP3K12"	46	2.1	0.036	0.278	"GSE14814"
"TNFSF13"	98	2.09	0.0363	0.279	"GSE14814"
"GATA6"	43	2.09	0.0364	0.279	"GSE14814"
"FOXJ2"	28	2.09	0.0368	0.28	"GSE14814"
"EDNRB"	85	2.09	0.0368	0.28	"GSE14814"
"MAPRE2"	47	2.09	0.037	0.282	"GSE14814"
"IRF2"	36	2.08	0.0371	0.282	"GSE14814"
"RRAD"	49	2.08	0.0373	0.282	"GSE14814"
"MAF"	80	2.08	0.0375	0.283	"GSE14814"
"MNDA"	68	2.08	0.0379	0.285	"GSE14814"
"PXN"	47	2.07	0.0382	0.286	"GSE14814"
"RASL12"	140	2.06	0.0392	0.289	"GSE14814"
"TIE1"	64	2.06	0.0393	0.289	"GSE14814"
"ZMAT3"	37	2.06	0.0395	0.29	"GSE14814"
"ZNF426"	35	2.06	0.0397	0.29	"GSE14814"
"MITF"	62	2.06	0.0398	0.29	"GSE14814"
"PIK3C2B"	39	2.06	0.0399	0.29	"GSE14814"
"BCL2"	53	2.05	0.0406	0.294	"GSE14814"
"ITGA8"	73	2.05	0.0407	0.294	"GSE14814"
"CCDC85B"	65	2.03	0.0419	0.3	"GSE14814"
"IQGAP2"	47	2.03	0.0421	0.3	"GSE14814"
"ROS1"	38	2.03	0.0422	0.3	"GSE14814"
"AXL"	110	2.03	0.0423	0.3	"GSE14814"
"LEF1"	37	2.02	0.0432	0.306	"GSE14814"
"NRGN"	72	2.02	0.0439	0.309	"GSE14814"
"CYLD"	53	2.01	0.0449	0.312	"GSE14814"
"ELK1"	40	2	0.0451	0.312	"GSE14814"
"IFI6"	37	2	0.0453	0.313	"GSE14814"
"CD36"	29	2	0.0455	0.313	"GSE14814"
"GTPBP1"	114	1.99	0.0464	0.314	"GSE14814"
"SMARCD3"	30	1.99	0.0464	0.314	"GSE14814"
"EGR2"	40	1.98	0.0476	0.319	"GSE14814"
"SIGLEC9"	58	1.98	0.0477	0.319	"GSE14814"
"LY96"	51	1.98	0.0481	0.32	"GSE14814"
"LBX1"	32	1.97	0.0484	0.322	"GSE14814"
"CRTC3"	29	1.97	0.049	0.324	"GSE14814"
"ZYX"	43	1.95	0.0508	0.336	"GSE14814"
"ADRB2"	85	1.93	0.0532	0.348	"GSE14814"
"MSL3"	29	1.92	0.0544	0.354	"GSE14814"
"CRYAB"	72	1.92	0.0546	0.354	"GSE14814"
"STAT5B"	48	1.92	0.0549	0.355	"GSE14814"
"TGM2"	80	1.92	0.0552	0.356	"GSE14814"
"CARD8"	44	1.91	0.0557	0.357	"GSE14814"
"CBX7"	57	1.91	0.0564	0.357	"GSE14814"
"CSK"	45	1.91	0.0567	0.357	"GSE14814"
"RASGRF1"	37	1.91	0.0567	0.357	"GSE14814"
"ROR1"	55	1.9	0.0572	0.359	"GSE14814"
"CLEC7A"	35	1.9	0.0572	0.359	"GSE14814"
"BASP1"	48	1.9	0.0574	0.359	"GSE14814"
"SNCA"	47	1.89	0.0583	0.362	"GSE14814"
"RGL1"	70	1.89	0.059	0.366	"GSE14814"
"GNG7"	35	1.89	0.0593	0.366	"GSE14814"
"RPN1"	53	1.88	0.0603	0.37	"GSE14814"
"S1PR1"	62	1.88	0.0607	0.371	"GSE14814"
"BHLHE41"	62	1.88	0.0607	0.371	"GSE14814"
"KLF2"	53	1.87	0.0609	0.372	"GSE14814"
"ZNF423"	71	1.87	0.0618	0.374	"GSE14814"
"FOXO1"	32	1.87	0.062	0.374	"GSE14814"
"BIRC3"	36	1.87	0.062	0.374	"GSE14814"
"NPR1"	65	1.86	0.0629	0.376	"GSE14814"
"CIITA"	36	1.85	0.0639	0.38	"GSE14814"
"CX3CL1"	28	1.85	0.0647	0.383	"GSE14814"
"PDE4DIP"	25	1.85	0.065	0.383	"GSE14814"
"FOXF2"	49	1.84	0.066	0.388	"GSE14814"
"ZFP36L2"	59	1.83	0.0666	0.389	"GSE14814"
"ARHGEF3"	45	1.82	0.0681	0.397	"GSE14814"
"EGR3"	39	1.82	0.0688	0.4	"GSE14814"
"RELB"	29	1.82	0.0691	0.401	"GSE14814"
"LDLRAP1"	28	1.81	0.0699	0.403	"GSE14814"
"EVI2A"	85	1.81	0.0702	0.403	"GSE14814"
"ZNF688"	47	1.8	0.0716	0.406	"GSE14814"
"FCGRT"	84	1.8	0.0723	0.407	"GSE14814"
"LZTS1"	77	1.79	0.0727	0.409	"GSE14814"
"TCF21"	128	1.79	0.0738	0.414	"GSE14814"
"FABP4"	28	1.79	0.0741	0.414	"GSE14814"
"PKIG"	51	1.78	0.0744	0.414	"GSE14814"
"NLRP1"	38	1.78	0.075	0.416	"GSE14814"
"PLXNC1"	83	1.78	0.0753	0.416	"GSE14814"
"XBP1"	74	1.78	0.0756	0.416	"GSE14814"
"P2RY14"	35	1.77	0.076	0.417	"GSE14814"
"THRA"	37	1.77	0.076	0.417	"GSE14814"
"SOCS3"	33	1.77	0.0769	0.419	"GSE14814"
"TEK"	47	1.77	0.077	0.419	"GSE14814"
"MAP3K3"	62	1.77	0.0772	0.419	"GSE14814"
"PDE6G"	30	1.77	0.0776	0.419	"GSE14814"
"MSX2"	41	1.76	0.0782	0.42	"GSE14814"
"MECP2"	35	1.76	0.0783	0.42	"GSE14814"
"SIPA1"	45	1.76	0.0788	0.42	"GSE14814"
"IFITM1"	26	1.75	0.0795	0.422	"GSE14814"
"ANK2"	57	1.74	0.0813	0.429	"GSE14814"
"FHIT"	38	1.74	0.0814	0.429	"GSE14814"
"TNIP2"	40	1.74	0.0815	0.429	"GSE14814"
"JUNB"	42	1.74	0.0823	0.432	"GSE14814"
"BIRC7"	30	1.73	0.0836	0.435	"GSE14814"
"ID3"	29	1.73	0.0843	0.435	"GSE14814"
"PLA2G1B"	55	1.72	0.0861	0.441	"GSE14814"
"WFS1"	79	1.71	0.0872	0.445	"GSE14814"
"PTPRB"	66	1.7	0.0884	0.449	"GSE14814"
"LMX1B"	31	1.7	0.0888	0.45	"GSE14814"
"ITPK1"	55	1.69	0.0907	0.456	"GSE14814"
"SMARCA2"	70	1.68	0.092	0.461	"GSE14814"
"OXT"	54	1.68	0.0933	0.465	"GSE14814"
"GPC3"	29	1.67	0.094	0.466	"GSE14814"
"TAF12"	30	1.67	0.0945	0.466	"GSE14814"
"TIAM1"	50	1.67	0.0947	0.466	"GSE14814"
"AGER"	87	1.67	0.0948	0.466	"GSE14814"
"RNF10"	43	1.67	0.0956	0.469	"GSE14814"
"DACH1"	25	1.66	0.0961	0.469	"GSE14814"
"LDB2"	95	1.66	0.0966	0.469	"GSE14814"
"CREB3L1"	61	1.66	0.0967	0.469	"GSE14814"
"MUL1"	36	1.66	0.0972	0.469	"GSE14814"
"IL11RA"	32	1.66	0.0972	0.469	"GSE14814"
"ENPP2"	68	1.66	0.0976	0.469	"GSE14814"
"CAPN3"	46	1.66	0.0978	0.469	"GSE14814"
"VIPR1"	61	1.65	0.0981	0.469	"GSE14814"
"SPI1"	37	1.65	0.0986	0.471	"GSE14814"
"BAK1"	80	1.64	0.1	0.476	"GSE14814"
"WISP2"	40	1.64	0.101	0.478	"GSE14814"
"L1CAM"	33	1.64	0.102	0.478	"GSE14814"
"ZDHHC3"	34	1.64	0.102	0.478	"GSE14814"
"P2RX4"	41	1.63	0.102	0.479	"GSE14814"
"WNT2"	58	1.63	0.103	0.479	"GSE14814"
"ELF4"	89	1.61	0.107	0.493	"GSE14814"
"FAS"	47	1.61	0.107	0.493	"GSE14814"
"RPS6KA1"	52	1.61	0.107	0.493	"GSE14814"
"CXCR5"	41	1.61	0.107	0.493	"GSE14814"
"CNTNAP1"	34	1.61	0.107	0.493	"GSE14814"
"TSC22D3"	56	1.61	0.107	0.493	"GSE14814"
"MAPKAPK3"	53	1.61	0.108	0.493	"GSE14814"
"ADH1A"	29	1.6	0.109	0.494	"GSE14814"
"TGFB3"	72	1.6	0.109	0.494	"GSE14814"
"ADGRE3"	29	1.6	0.11	0.494	"GSE14814"
"CD81"	80	1.6	0.11	0.494	"GSE14814"
"GRIN1"	37	1.59	0.111	0.496	"GSE14814"
"RASGRP1"	37	1.59	0.112	0.496	"GSE14814"
"ERG"	30	1.59	0.112	0.496	"GSE14814"
"OSTF1"	41	1.59	0.113	0.498	"GSE14814"
"POU2F2"	36	1.58	0.113	0.5	"GSE14814"
"LBH"	66	1.58	0.114	0.503	"GSE14814"
"B2M"	62	1.58	0.115	0.505	"GSE14814"
"SLIT2"	49	1.57	0.117	0.509	"GSE14814"
"CCR4"	86	1.57	0.117	0.511	"GSE14814"
"CDKN1A"	34	1.57	0.117	0.511	"GSE14814"
"ITGA5"	88	1.57	0.118	0.511	"GSE14814"
"DUSP1"	58	1.56	0.118	0.511	"GSE14814"
"AGTR1"	41	1.56	0.118	0.511	"GSE14814"
"IGF1"	40	1.56	0.119	0.513	"GSE14814"
"BMP6"	31	1.55	0.121	0.516	"GSE14814"
"ZFYVE26"	30	1.55	0.122	0.517	"GSE14814"
"LGALS1"	111	1.55	0.122	0.517	"GSE14814"
"PDE1A"	32	1.55	0.122	0.517	"GSE14814"
"ZDHHC14"	26	1.54	0.123	0.52	"GSE14814"
"ADGRA2"	78	1.54	0.123	0.52	"GSE14814"
"CLIC2"	36	1.54	0.124	0.524	"GSE14814"
"DOK5"	36	1.53	0.125	0.526	"GSE14814"
"GSC2"	40	1.53	0.126	0.526	"GSE14814"
"CAV1"	41	1.53	0.127	0.529	"GSE14814"
"NR2F2"	42	1.53	0.127	0.529	"GSE14814"
"GADD45B"	73	1.53	0.127	0.529	"GSE14814"
"NOTCH4"	28	1.52	0.129	0.535	"GSE14814"
"SGK1"	79	1.52	0.129	0.536	"GSE14814"
"EAF2"	27	1.51	0.13	0.538	"GSE14814"
"GPR4"	37	1.51	0.13	0.538	"GSE14814"
"PITPNC1"	30	1.51	0.131	0.541	"GSE14814"
"PTGIS"	99	1.5	0.132	0.544	"GSE14814"
"CD160"	45	1.5	0.133	0.544	"GSE14814"
