"sg"	"sr"	"n"	"pvalue"	"qvalue"	"overlapVector"
"ADAPTIVE_IMMUNE_RESPONSE_GO_0002460"	119	15	2	0.00283528560684944	0.0374257700104126	"PTPRC TLR8"
"POSITIVE_REGULATION_OF_PROTEIN_AMINO_ACID_PHOSPHORYLATION"	119	15	2	0.00283528560684944	0.0374257700104126	"CCND2 HCLS1"
"POSITIVE_REGULATION_OF_TRANSFERASE_ACTIVITY"	119	73	5	0.00295977758503884	0.0381533829321413	"C5AR1 CCND2 CD4 FPR1 MAP4K1"
"MACROMOLECULE_BIOSYNTHETIC_PROCESS"	119	75	5	0.0033915612249894	0.0430467386248654	"CHST11 LTB PTPRC TLR1 TLR8"
"ADAPTIVE_IMMUNE_RESPONSE"	119	16	2	0.00343992851558404	0.0429991064448005	"PTPRC TLR8"
"CELL_CELL_SIGNALING"	119	218	10	0.00354379637262524	0.0436362986181466	"CCL5 CCL8 CCR1 CCR5 CXCL10 IL15 IL1B LILRB2 LTB SIRPG"
"RESPONSE_TO_BIOTIC_STIMULUS"	119	53	4	0.00364584984074727	0.0442327370384779	"CCL5 CCL8 PTPRC TLR8"
"POSITIVE_REGULATION_OF_DEFENSE_RESPONSE"	119	5	1	0.00368587389339654	0.0437531793101028	"TLR8"
"RESPONSE_TO_DRUG"	119	5	1	0.00368587389339654	0.0437531793101028	"LCK"
"CYTOKINE_PRODUCTION"	119	54	4	0.00395585825989383	0.045965958653696	"IFNG LTB TLR1 TLR8"
"MESODERM_DEVELOPMENT"	119	17	2	0.00411767333279435	0.0468562827524875	"BTK IKZF1"
"HOMEOSTASIS_OF_NUMBER_OF_CELLS"	119	17	2	0.00411767333279435	0.0468562827524875	"HCLS1 MAFB"
"POSITIVE_REGULATION_OF_BIOLOGICAL_PROCESS"	119	547	19	0.00456415511652879	0.0508841617721115	"APOL3 BTK CCND2 CD2 CD86 CSF1 CXCL10 HCLS1 IFNG IL12RB1 IL15 LCK LTB PTPRC RHOG SIRPG TLR1 TLR8 ZAP70"
"CELL_STRUCTURE_DISASSEMBLY_DURING_APOPTOSIS"	119	18	2	0.00487102499825664	0.0528762582047596	"GZMA GZMB"
"POSITIVE_REGULATION_OF_IMMUNE_RESPONSE"	119	18	2	0.00487102499825664	0.0528762582047596	"PTPRC TLR8"
"ACTIVATION_OF_NF_KAPPAB_TRANSCRIPTION_FACTOR"	119	18	2	0.00487102499825664	0.0528762582047596	"NLRC3 PRKCQ"
"ACTIVATION_OF_MAPK_ACTIVITY"	119	36	3	0.00514398031526068	0.0544074841037187	"C5AR1 FPR1 MAP4K1"
"REGULATION_OF_CELLULAR_PROTEIN_METABOLIC_PROCESS"	119	82	5	0.00527814033218519	0.0551198199247188	"CCND2 HCLS1 LTB TLR1 TLR8"
"REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN"	119	6	1	0.00545787752260833	0.0562843619518984	"HCLS1"
"IMMUNE_EFFECTOR_PROCESS"	119	19	2	0.00570225794921404	0.0580785531864393	"PTPRC TLR8"
"POSITIVE_REGULATION_OF_CELLULAR_PROCESS"	119	522	18	0.00600733623062326	0.0604396632959047	"APOL3 BTK CCND2 CD2 CD86 CSF1 CXCL10 HCLS1 IL12RB1 IL15 LCK LTB PTPRC RHOG SIRPG TLR1 TLR8 ZAP70"
"POSITIVE_REGULATION_OF_PHOSPHORYLATION"	119	20	2	0.00661342602658253	0.0653422331967735	"CCND2 HCLS1"
"CYTOKINE_AND_CHEMOKINE_MEDIATED_SIGNALING_PATHWAY"	119	20	2	0.00661342602658253	0.0653422331967735	"IL2RB PTPRC"
"REGULATION_OF_TRANSLATION"	119	39	3	0.00686574084078809	0.0666380728664726	"LTB TLR1 TLR8"
"SULFUR_METABOLIC_PROCESS"	119	7	1	0.00754314607912721	0.0711210916031994	"CHST11"
"REGULATION_OF_INTERFERON_GAMMA_BIOSYNTHETIC_PROCESS"	119	7	1	0.00754314607912721	0.0711210916031994	"TLR8"
"NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS"	119	7	1	0.00754314607912721	0.0711210916031994	"PTPRC"
"INTERFERON_GAMMA_BIOSYNTHETIC_PROCESS"	119	7	1	0.00754314607912721	0.0711210916031994	"TLR8"
"POSITIVE_REGULATION_OF_PHOSPHATE_METABOLIC_PROCESS"	119	21	2	0.00760637205130664	0.0693398557163312	"CCND2 HCLS1"
"REGULATION_OF_IMMUNE_RESPONSE"	119	21	2	0.00760637205130664	0.0693398557163312	"PTPRC TLR8"
"POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS"	119	22	2	0.00868273708043715	0.0778615009930505	"CCND2 HCLS1"
"POSITIVE_REGULATION_OF_MAP_KINASE_ACTIVITY"	119	42	3	0.00893156939644947	0.0792316640007614	"C5AR1 FPR1 MAP4K1"
"REGULATION_OF_PROTEIN_METABOLIC_PROCESS"	119	93	5	0.00965499780309287	0.0847380126335279	"CCND2 HCLS1 LTB TLR1 TLR8"
"REGULATION_OF_CELL_DIFFERENTIATION"	119	43	3	0.00970103466976141	0.0842458273952965	"MAFB MAP4K1 ZAP70"
"SECRETORY_PATHWAY"	119	23	2	0.0098439693522491	0.0845966116208907	"CCL5 CCL8"
"NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS"	119	8	1	0.00992888825930193	0.0803071844502362	"PTPRC"
"INTERLEUKIN_8_BIOSYNTHETIC_PROCESS"	119	8	1	0.00992888825930193	0.0803071844502362	"TLR8"
"S_PHASE"	119	8	1	0.00992888825930193	0.0803071844502362	"PTPRC"
"REGULATION_OF_JAK_STAT_CASCADE"	119	8	1	0.00992888825930193	0.0803071844502362	"HCLS1"
"REGULATION_OF_CELL_CELL_ADHESION"	119	8	1	0.00992888825930193	0.0803071844502362	"SIRPG"
"POSITIVE_REGULATION_OF_CELL_ADHESION"	119	8	1	0.00992888825930193	0.0803071844502362	"SIRPG"
"NEGATIVE_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION"	119	8	1	0.00992888825930193	0.0803071844502362	"MAFB"
"INNATE_IMMUNE_RESPONSE"	119	8	1	0.00992888825930193	0.0803071844502362	"TLR8"
"INTERFERON_GAMMA_PRODUCTION"	119	8	1	0.00992888825930193	0.0803071844502362	"TLR8"
"TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN"	119	8	1	0.00992888825930193	0.0803071844502362	"HCLS1"
"REGULATION_OF_IMMUNE_EFFECTOR_PROCESS"	119	8	1	0.00992888825930193	0.0803071844502362	"PTPRC"
"REGULATION_OF_PROTEIN_AMINO_ACID_PHOSPHORYLATION"	119	24	2	0.0110913329294704	0.0843350199706276	"CCND2 HCLS1"
"POSITIVE_REGULATION_OF_TRANSCRIPTION_FACTOR_ACTIVITY"	119	24	2	0.0110913329294704	0.0843350199706276	"NLRC3 PRKCQ"
"PROGRAMMED_CELL_DEATH"	119	292	11	0.0117788561146151	0.0879416859235972	"BTK CD14 CD2 GPR65 GZMA GZMB IL1B IL2RA IL2RB LCK PTPRC"
"APOPTOSIS_GO"	119	292	11	0.0117788561146151	0.0879416859235972	"BTK CD14 CD2 GPR65 GZMA GZMB IL1B IL2RA IL2RB LCK PTPRC"
"MULTICELLULAR_ORGANISMAL_DEVELOPMENT"	119	558	18	0.0119776943620252	0.0882285522202752	"BTK CD3D CD4 CMKLR1 CSF1 CSF1R CXCL10 FLI1 GPR65 HCLS1 IKZF1 ITGAX LCK MAFB MAP4K1 PTPRC TBX21 ZAP70"
"REGULATION_OF_PROTEIN_KINASE_ACTIVITY"	119	127	6	0.0121747162247326	0.0888862025257026	"C5AR1 CCND2 CD4 FPR1 MAP4K1 PTPRC"
"POSITIVE_REGULATION_OF_BINDING"	119	25	2	0.01242591604945	0.0895317095266045	"NLRC3 PRKCQ"
"POSITIVE_REGULATION_OF_DNA_BINDING"	119	25	2	0.01242591604945	0.0895317095266045	"NLRC3 PRKCQ"
"DI___TRI_VALENT_INORGANIC_CATION_TRANSPORT"	119	9	1	0.0126026873021176	0.0888651027713423	"CCL8"
"CALCIUM_ION_TRANSPORT"	119	9	1	0.0126026873021176	0.0888651027713423	"CCL8"
"POSITIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION"	119	9	1	0.0126026873021176	0.0888651027713423	"HCLS1"
"REGULATION_OF_KINASE_ACTIVITY"	119	129	6	0.0131894622727585	0.0910569571131865	"C5AR1 CCND2 CD4 FPR1 MAP4K1 PTPRC"
"REGULATION_OF_TRANSFERASE_ACTIVITY"	119	129	6	0.0131894622727585	0.0910569571131865	"C5AR1 CCND2 CD4 FPR1 MAP4K1 PTPRC"
"VESICLE_MEDIATED_TRANSPORT"	119	73	4	0.0139984245167288	0.0954438035231507	"CCL5 CCL8 CD14 ELMO1"
"SYSTEM_DEVELOPMENT"	119	449	15	0.014080803303308	0.0952185469281076	"BTK CD3D CD4 CMKLR1 CSF1 CXCL10 FLI1 HCLS1 IKZF1 ITGAX LCK MAFB MAP4K1 PTPRC ZAP70"
"CELLULAR_COMPONENT_DISASSEMBLY"	119	27	2	0.0153602628582833	0.103026153317754	"GZMA GZMB"
"REGULATION_OF_DEFENSE_RESPONSE"	119	10	1	0.0155524914074176	0.101029963867083	"TLR8"
"PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE"	119	10	1	0.0155524914074176	0.101029963867083	"PTPRC"
"POSITIVE_REGULATION_OF_T_CELL_PROLIFERATION"	119	10	1	0.0155524914074176	0.101029963867083	"PTPRC"
"INTERLEUKIN_8_PRODUCTION"	119	10	1	0.0155524914074176	0.101029963867083	"TLR8"
"REGULATION_OF_T_CELL_PROLIFERATION"	119	10	1	0.0155524914074176	0.101029963867083	"PTPRC"
"CARBOHYDRATE_BIOSYNTHETIC_PROCESS"	119	10	1	0.0155524914074176	0.101029963867083	"CHST11"
"SENSORY_ORGAN_DEVELOPMENT"	119	10	1	0.0155524914074176	0.101029963867083	"MAFB"
"POSITIVE_REGULATION_OF_RESPONSE_TO_STIMULUS"	119	28	2	0.0169613951138643	0.106817946327771	"PTPRC TLR8"
"TRANSLATION"	119	51	3	0.0174290423959247	0.108931514974529	"LTB TLR1 TLR8"
"T_CELL_PROLIFERATION"	119	11	1	0.0187666043811863	0.116409388078787	"PTPRC"
"GLYCOLIPID_METABOLIC_PROCESS"	119	1	0	0.019656425503799	0.115420292104158	""
"PEROXISOME_ORGANIZATION_AND_BIOGENESIS"	119	1	0	0.019656425503799	0.115420292104158	""
"INTERCELLULAR_JUNCTION_ASSEMBLY"	119	1	0	0.019656425503799	0.115420292104158	""
"INTRA_GOLGI_VESICLE_MEDIATED_TRANSPORT"	119	1	0	0.019656425503799	0.115420292104158	""
"VITAMIN_TRANSPORT"	119	1	0	0.019656425503799	0.115420292104158	""
"COENZYME_BIOSYNTHETIC_PROCESS"	119	1	0	0.019656425503799	0.115420292104158	""
"PROTEIN_TARGETING_TO_MEMBRANE"	119	1	0	0.019656425503799	0.115420292104158	""
"BILE_ACID_METABOLIC_PROCESS"	119	1	0	0.019656425503799	0.115420292104158	""
"OLIGOSACCHARIDE_METABOLIC_PROCESS"	119	1	0	0.019656425503799	0.115420292104158	""
"XENOBIOTIC_METABOLIC_PROCESS"	119	1	0	0.019656425503799	0.115420292104158	""
"GLYCOSPHINGOLIPID_METABOLIC_PROCESS"	119	1	0	0.019656425503799	0.115420292104158	""
"AMINE_BIOSYNTHETIC_PROCESS"	119	1	0	0.019656425503799	0.115420292104158	""
"AMINO_ACID_DERIVATIVE_BIOSYNTHETIC_PROCESS"	119	1	0	0.019656425503799	0.115420292104158	""
"SPHINGOLIPID_BIOSYNTHETIC_PROCESS"	119	1	0	0.019656425503799	0.115420292104158	""
"APOPTOTIC_PROGRAM"	119	54	3	0.0210922610381935	0.1175751037602	"GZMA GZMB LCK"
"POSITIVE_REGULATION_OF_CATALYTIC_ACTIVITY"	119	142	6	0.021316863758905	0.118029614772461	"C5AR1 CCND2 CD4 FPR1 LCK MAP4K1"
"MYELOID_LEUKOCYTE_DIFFERENTIATION"	119	12	1	0.0222336765027831	0.121475384866199	"CSF1"
"POSITIVE_REGULATION_OF_CELL_CYCLE"	119	12	1	0.0222336765027831	0.121475384866199	"CCND2"
"POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION"	119	12	1	0.0222336765027831	0.121475384866199	"IFNG"
"ACTIVATION_OF_JNK_ACTIVITY"	119	13	1	0.0259426956091225	0.138978726477442	"MAP4K1"
"ACTIVATION_OF_IMMUNE_RESPONSE"	119	13	1	0.0259426956091225	0.138978726477442	"PTPRC"
"AMINE_METABOLIC_PROCESS"	119	13	1	0.0259426956091225	0.138978726477442	"CHST11"
"REGULATION_OF_PROTEIN_MODIFICATION_PROCESS"	119	34	2	0.0284644896056511	0.149574547290842	"CCND2 HCLS1"
"PEPTIDYL_AMINO_ACID_MODIFICATION"	119	34	2	0.0284644896056511	0.149574547290842	"HCLS1 MAP4K1"
"NEGATIVE_REGULATION_OF_SIGNAL_TRANSDUCTION"	119	34	2	0.0284644896056511	0.149574547290842	"PTPRC TNFAIP3"
"PHOSPHOLIPASE_C_ACTIVATION"	119	14	1	0.0298829783909109	0.15456712960816	"C5AR1"
"REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION"	119	14	1	0.0298829783909109	0.15456712960816	"HCLS1"
"REGULATION_OF_RESPONSE_TO_STIMULUS"	119	35	2	0.0306978648536334	0.157302723628867	"PTPRC TLR8"
"BIOSYNTHETIC_PROCESS"	119	121	5	0.0313552129465433	0.15967932519073	"CHST11 LTB PTPRC TLR1 TLR8"
"MEMBRANE_ORGANIZATION_AND_BIOGENESIS"	119	62	3	0.033038343142484	0.166707236040057	"CD14 CD2 ELMO1"
"REGULATION_OF_MAP_KINASE_ACTIVITY"	119	62	3	0.033038343142484	0.166707236040057	"C5AR1 FPR1 MAP4K1"
"CALCIUM_MEDIATED_SIGNALING"	119	15	1	0.0340441618961512	0.168687288674623	"BTK"
"B_CELL_ACTIVATION"	119	15	1	0.0340441618961512	0.168687288674623	"PTPRC"
"SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS"	119	15	1	0.0340441618961512	0.168687288674623	"C5AR1"
"POSITIVE_REGULATION_OF_JNK_ACTIVITY"	119	15	1	0.0340441618961512	0.168687288674623	"MAP4K1"
"CELLULAR_BIOSYNTHETIC_PROCESS"	119	93	4	0.0356312650953648	0.173939607714059	"CHST11 LTB TLR1 TLR8"
"REGULATION_OF_MOLECULAR_FUNCTION"	119	267	9	0.0365502538620352	0.177376231977524	"C5AR1 CCND2 CD4 FPR1 LCK MAP4K1 NLRC3 PRKCQ PTPRC"
"RAS_PROTEIN_SIGNAL_TRANSDUCTION"	119	65	3	0.0383571793979919	0.185056567271014	"ELMO1 LCK RHOG"
"REGULATION_OF_MYELOID_CELL_DIFFERENTIATION"	119	16	1	0.0384161952362322	0.183729629390676	"MAFB"
"HUMORAL_IMMUNE_RESPONSE"	119	16	1	0.0384161952362322	0.183729629390676	"POU2F2"
"GLUCAN_METABOLIC_PROCESS"	119	2	0	0.0389296594976941	0.169036679397882	""
"BIOGENIC_AMINE_METABOLIC_PROCESS"	119	2	0	0.0389296594976941	0.169036679397882	""
"PROTEIN_TARGETING_TO_MITOCHONDRION"	119	2	0	0.0389296594976941	0.169036679397882	""
"FATTY_ACID_BETA_OXIDATION"	119	2	0	0.0389296594976941	0.169036679397882	""
"GLUCOSE_CATABOLIC_PROCESS"	119	2	0	0.0389296594976941	0.169036679397882	""
"CENTROSOME_ORGANIZATION_AND_BIOGENESIS"	119	2	0	0.0389296594976941	0.169036679397882	""
"HETEROPHILIC_CELL_ADHESION"	119	2	0	0.0389296594976941	0.169036679397882	""
"POST_GOLGI_VESICLE_MEDIATED_TRANSPORT"	119	2	0	0.0389296594976941	0.169036679397882	""
"EPITHELIAL_CELL_DIFFERENTIATION"	119	2	0	0.0389296594976941	0.169036679397882	""
"RESPONSE_TO_XENOBIOTIC_STIMULUS"	119	2	0	0.0389296594976941	0.169036679397882	""
"AMINO_ACID_DERIVATIVE_METABOLIC_PROCESS"	119	2	0	0.0389296594976941	0.169036679397882	""
"RESPONSE_TO_CARBOHYDRATE_STIMULUS"	119	2	0	0.0389296594976941	0.169036679397882	""
"PEPTIDE_METABOLIC_PROCESS"	119	2	0	0.0389296594976941	0.169036679397882	""
