"sg"	"sr"	"n"	"pvalue"	"qvalue"	"overlapVector"
"TRANSLATIONAL_INITIATION"	90	4	0	0.0581659772047559	0.225820852677288	""
"AEROBIC_RESPIRATION"	90	4	0	0.0581659772047559	0.225820852677288	""
"REGULATION_OF_TRANSLATIONAL_INITIATION"	90	4	0	0.0581659772047559	0.225820852677288	""
"MONOVALENT_INORGANIC_CATION_HOMEOSTASIS"	90	4	0	0.0581659772047559	0.225820852677288	""
"HOMOPHILIC_CELL_ADHESION"	90	4	0	0.0581659772047559	0.225820852677288	""
"NEGATIVE_REGULATION_OF_ANGIOGENESIS"	90	4	0	0.0581659772047559	0.225820852677288	""
"NEGATIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION_AND_BIOGENESIS"	90	4	0	0.0581659772047559	0.225820852677288	""
"MITOTIC_SISTER_CHROMATID_SEGREGATION"	90	4	0	0.0581659772047559	0.225820852677288	""
"COFACTOR_CATABOLIC_PROCESS"	90	4	0	0.0581659772047559	0.225820852677288	""
"PROTEOGLYCAN_METABOLIC_PROCESS"	90	4	0	0.0581659772047559	0.225820852677288	""
"REGULATION_OF_PH"	90	4	0	0.0581659772047559	0.225820852677288	""
"VACUOLE_ORGANIZATION_AND_BIOGENESIS"	90	4	0	0.0581659772047559	0.225820852677288	""
"ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION"	90	4	0	0.0581659772047559	0.225820852677288	""
"VACUOLAR_TRANSPORT"	90	4	0	0.0581659772047559	0.225820852677288	""
"SECONDARY_METABOLIC_PROCESS"	90	4	0	0.0581659772047559	0.225820852677288	""
"KERATINOCYTE_DIFFERENTIATION"	90	4	0	0.0581659772047559	0.225820852677288	""
"RESPONSE_TO_TEMPERATURE_STIMULUS"	90	4	0	0.0581659772047559	0.225820852677288	""
"RNA_EXPORT_FROM_NUCLEUS"	90	4	0	0.0581659772047559	0.225820852677288	""
"LYSOSOMAL_TRANSPORT"	90	4	0	0.0581659772047559	0.225820852677288	""
"STRIATED_MUSCLE_CONTRACTION_GO_0006941"	90	4	0	0.0581659772047559	0.225820852677288	""
"NLS_BEARING_SUBSTRATE_IMPORT_INTO_NUCLEUS"	90	4	0	0.0581659772047559	0.225820852677288	""
"BODY_FLUID_SECRETION"	90	4	0	0.0581659772047559	0.225820852677288	""
"RESPIRATORY_GASEOUS_EXCHANGE"	90	4	0	0.0581659772047559	0.225820852677288	""
"RESPONSE_TO_IONIZING_RADIATION"	90	4	0	0.0581659772047559	0.225820852677288	""
"OVULATION_CYCLE"	90	4	0	0.0581659772047559	0.225820852677288	""
"PIGMENT_BIOSYNTHETIC_PROCESS"	90	4	0	0.0581659772047559	0.225820852677288	""
"PIGMENT_METABOLIC_PROCESS"	90	4	0	0.0581659772047559	0.225820852677288	""
"AROMATIC_COMPOUND_METABOLIC_PROCESS"	90	4	0	0.0581659772047559	0.225820852677288	""
