"Regulon"	"Size"	"NES"	"p.value"	"FDR"	"dataset"
"POLR3G"	53	2.62	0.00877	0.0688	"GSE14814"
"BUD31"	73	2.61	0.00893	0.0693	"GSE14814"
"BRD4"	70	2.61	0.00897	0.0693	"GSE14814"
"YBX1"	64	2.61	0.00901	0.0694	"GSE14814"
"ARNTL2"	113	2.61	0.00907	0.0696	"GSE14814"
"PLP2"	66	2.6	0.00924	0.0705	"GSE14814"
"SOD1"	66	2.6	0.00933	0.0708	"GSE14814"
"MYB"	26	2.6	0.00946	0.0712	"GSE14814"
"LMO4"	36	2.59	0.00957	0.0719	"GSE14814"
"CHAF1B"	73	2.59	0.00962	0.072	"GSE14814"
"GSK3B"	57	2.59	0.00967	0.0722	"GSE14814"
"FUS"	46	2.59	0.00972	0.0725	"GSE14814"
"RAPGEFL1"	77	2.57	0.0101	0.0746	"GSE14814"
"ATP2A2"	43	2.57	0.0102	0.0749	"GSE14814"
"CSNK2A1"	80	2.57	0.0103	0.0753	"GSE14814"
"TRIAP1"	83	2.56	0.0105	0.0768	"GSE14814"
"NSD2"	58	2.55	0.0107	0.0779	"GSE14814"
"SNAPC1"	42	2.54	0.0111	0.0804	"GSE14814"
"RAB3B"	38	2.54	0.0112	0.0809	"GSE14814"
"SPHK1"	87	2.54	0.0112	0.0809	"GSE14814"
"CNOT9"	36	2.54	0.0112	0.0809	"GSE14814"
"PAK1IP1"	42	2.52	0.0119	0.0846	"GSE14814"
"CDC42SE1"	32	2.51	0.012	0.0849	"GSE14814"
"TP63"	158	2.51	0.012	0.0852	"GSE14814"
"BEX3"	34	2.5	0.0123	0.0864	"GSE14814"
"RANGAP1"	96	2.49	0.0126	0.088	"GSE14814"
"GGCT"	47	2.49	0.0127	0.088	"GSE14814"
"TCF20"	46	2.49	0.0128	0.0886	"GSE14814"
"PLEKHA1"	42	2.49	0.0129	0.0886	"GSE14814"
"ADM"	80	2.48	0.013	0.089	"GSE14814"
"PDK1"	33	2.48	0.0131	0.0891	"GSE14814"
"H2AFX"	88	2.48	0.0131	0.0894	"GSE14814"
"FOSL1"	52	2.48	0.0132	0.0894	"GSE14814"
"ZNF74"	35	2.46	0.0137	0.0919	"GSE14814"
"COPS5"	98	2.46	0.0138	0.0919	"GSE14814"
"BAX"	63	2.46	0.0138	0.0919	"GSE14814"
"RUVBL1"	97	2.46	0.0138	0.0919	"GSE14814"
"NELFCD"	77	2.45	0.0141	0.0935	"GSE14814"
"WNT5A"	55	2.43	0.0153	0.0992	"GSE14814"
"NDRG1"	46	2.42	0.0154	0.0992	"GSE14814"
"POLE"	59	2.42	0.0156	0.1	"GSE14814"
"ARTN"	89	2.41	0.0161	0.102	"GSE14814"
"JUP"	74	2.4	0.0165	0.104	"GSE14814"
"SLC7A1"	69	2.39	0.0167	0.104	"GSE14814"
"PHB"	110	2.39	0.0168	0.105	"GSE14814"
"JAG1"	84	2.39	0.0169	0.105	"GSE14814"
"SAP30"	37	2.38	0.0171	0.106	"GSE14814"
"SIAH2"	172	2.38	0.0171	0.106	"GSE14814"
"PAK2"	110	2.38	0.0172	0.106	"GSE14814"
"PITX1"	83	2.38	0.0172	0.106	"GSE14814"
"PIAS2"	38	2.38	0.0172	0.106	"GSE14814"
"MYNN"	56	2.38	0.0173	0.106	"GSE14814"
"CASK"	42	2.37	0.0177	0.108	"GSE14814"
"TGIF2"	49	2.36	0.0182	0.11	"GSE14814"
"FNTA"	65	2.36	0.0183	0.11	"GSE14814"
"PRAME"	27	2.36	0.0185	0.111	"GSE14814"
"BLM"	64	2.36	0.0185	0.111	"GSE14814"
"BANP"	43	2.35	0.0189	0.113	"GSE14814"
"IGFBP2"	43	2.35	0.019	0.113	"GSE14814"
"NFE2L1"	41	2.34	0.0193	0.114	"GSE14814"
"HOXA1"	31	2.34	0.0193	0.114	"GSE14814"
"PSMD9"	37	2.34	0.0194	0.114	"GSE14814"
"GPR87"	70	2.34	0.0194	0.114	"GSE14814"
"PHB2"	96	2.33	0.0196	0.115	"GSE14814"
"MAFG"	56	2.33	0.0196	0.115	"GSE14814"
"ARHGEF4"	38	2.33	0.0197	0.115	"GSE14814"
"SENP2"	74	2.32	0.0202	0.117	"GSE14814"
"JARID2"	35	2.32	0.0205	0.118	"GSE14814"
"HOXD11"	35	2.32	0.0205	0.118	"GSE14814"
"YEATS4"	27	2.32	0.0206	0.118	"GSE14814"
"PTHLH"	60	2.31	0.0208	0.119	"GSE14814"
"MORC4"	32	2.31	0.021	0.119	"GSE14814"
"MARK2"	37	2.3	0.0213	0.12	"GSE14814"
"PKP1"	92	2.3	0.0216	0.121	"GSE14814"
"EEF1E1"	109	2.3	0.0216	0.121	"GSE14814"
"IRF6"	83	2.3	0.0217	0.121	"GSE14814"
"PLD1"	50	2.29	0.0222	0.123	"GSE14814"
"SDHB"	46	2.29	0.0223	0.124	"GSE14814"
"SLC9A3R1"	63	2.28	0.0227	0.125	"GSE14814"
"TRPV4"	71	2.28	0.0228	0.126	"GSE14814"
"ARF6"	32	2.28	0.0229	0.126	"GSE14814"
"TERF1"	45	2.27	0.023	0.127	"GSE14814"
"ARL4D"	39	2.25	0.0242	0.131	"GSE14814"
"E2F6"	51	2.25	0.0246	0.133	"GSE14814"
"ZSCAN5A"	76	2.25	0.0247	0.133	"GSE14814"
"PAK1"	42	2.24	0.0254	0.136	"GSE14814"
"CNOT3"	46	2.23	0.0257	0.136	"GSE14814"
"FANCL"	53	2.23	0.0261	0.138	"GSE14814"
"CNBP"	131	2.22	0.0266	0.14	"GSE14814"
"LTB4R"	34	2.21	0.0269	0.141	"GSE14814"
"GNAI1"	33	2.2	0.0277	0.144	"GSE14814"
"SIVA1"	85	2.2	0.0277	0.144	"GSE14814"
"MAPK6"	87	2.2	0.0279	0.144	"GSE14814"
"ARL3"	28	2.2	0.0281	0.144	"GSE14814"
"G3BP1"	61	2.19	0.0282	0.144	"GSE14814"
"PLEK2"	38	2.19	0.0283	0.144	"GSE14814"
"FZD6"	73	2.19	0.0283	0.144	"GSE14814"
"MKLN1"	31	2.19	0.0284	0.144	"GSE14814"
"FGFBP1"	66	2.19	0.0284	0.144	"GSE14814"
"ADORA2B"	40	2.19	0.0285	0.144	"GSE14814"
"PIR"	79	2.19	0.0286	0.145	"GSE14814"
"GTF2E1"	36	2.19	0.0288	0.145	"GSE14814"
"MRPL12"	170	2.19	0.0288	0.145	"GSE14814"
"FOXL2"	35	2.19	0.0289	0.145	"GSE14814"
"MED27"	50	2.18	0.0293	0.147	"GSE14814"
"ITGAE"	44	2.18	0.0296	0.147	"GSE14814"
"MCM5"	87	2.17	0.0297	0.147	"GSE14814"
"ASH2L"	29	2.17	0.0297	0.147	"GSE14814"
"PPP2R1A"	44	2.17	0.0298	0.147	"GSE14814"
"THOP1"	79	2.17	0.03	0.148	"GSE14814"
"PTGES3"	104	2.17	0.0301	0.148	"GSE14814"
"SFN"	108	2.16	0.0309	0.151	"GSE14814"
"MLF1"	26	2.16	0.031	0.151	"GSE14814"
"NUP93"	88	2.15	0.0315	0.152	"GSE14814"
"PRKCSH"	42	2.15	0.0316	0.152	"GSE14814"
"FANCE"	62	2.15	0.0316	0.152	"GSE14814"
"SOX15"	92	2.15	0.0317	0.152	"GSE14814"
"CEP63"	46	2.14	0.032	0.153	"GSE14814"
"DLX5"	79	2.14	0.0322	0.153	"GSE14814"
"POLR2K"	92	2.14	0.0322	0.153	"GSE14814"
"NTS"	37	2.14	0.0325	0.154	"GSE14814"
"FOXE1"	92	2.14	0.0325	0.154	"GSE14814"
"RASSF9"	32	2.14	0.0326	0.154	"GSE14814"
"NIF3L1"	127	2.14	0.0327	0.154	"GSE14814"
"GNB1L"	94	2.13	0.0328	0.154	"GSE14814"
"ADCY3"	55	2.13	0.0329	0.154	"GSE14814"
"HOXB7"	31	2.13	0.0331	0.155	"GSE14814"
"SMC3"	55	2.13	0.0333	0.155	"GSE14814"
"FZD7"	57	2.12	0.0337	0.156	"GSE14814"
"HSPD1"	130	2.12	0.0337	0.156	"GSE14814"
"ENY2"	113	2.12	0.0341	0.157	"GSE14814"
"GRK2"	39	2.12	0.0342	0.157	"GSE14814"
"PDCL"	33	2.1	0.0354	0.161	"GSE14814"
"BARD1"	27	2.1	0.0354	0.161	"GSE14814"
"DVL3"	63	2.09	0.0366	0.165	"GSE14814"
"RARG"	58	2.09	0.0369	0.166	"GSE14814"
"TRIM29"	119	2.09	0.037	0.166	"GSE14814"
"CELSR2"	66	2.09	0.037	0.166	"GSE14814"
"TRIM28"	91	2.08	0.0377	0.168	"GSE14814"
"DST"	87	2.08	0.0377	0.168	"GSE14814"
"TIAL1"	67	2.08	0.0377	0.168	"GSE14814"
"PTPRZ1"	55	2.07	0.0382	0.169	"GSE14814"
"BNIP3"	63	2.07	0.0383	0.169	"GSE14814"
"LANCL2"	46	2.06	0.0395	0.172	"GSE14814"
"UBN1"	37	2.05	0.0399	0.174	"GSE14814"
"LPAR3"	40	2.05	0.0405	0.176	"GSE14814"
"EFS"	63	2.05	0.0406	0.176	"GSE14814"
"MSH6"	92	2.05	0.0407	0.176	"GSE14814"
"CORO1C"	110	2.04	0.041	0.177	"GSE14814"
"PLEKHG6"	41	2.04	0.0416	0.179	"GSE14814"
"PSMC3"	79	2.03	0.0419	0.179	"GSE14814"
"PSENEN"	41	2.03	0.0421	0.18	"GSE14814"
"TDG"	93	2.03	0.0427	0.181	"GSE14814"
"ITGA6"	92	2.02	0.0435	0.183	"GSE14814"
"MIF"	145	2.01	0.0444	0.185	"GSE14814"
"RPS27A"	89	2.01	0.0444	0.185	"GSE14814"
"CHRM3"	32	2.01	0.0444	0.185	"GSE14814"
"HAT1"	81	2.01	0.0444	0.185	"GSE14814"
"EXT1"	49	2.01	0.0445	0.185	"GSE14814"
"GNB2"	53	2	0.0452	0.186	"GSE14814"
"CARHSP1"	29	2	0.0452	0.186	"GSE14814"
"TFAM"	67	2	0.0454	0.186	"GSE14814"
"BNC1"	70	2	0.0458	0.187	"GSE14814"
"HINT1"	47	1.99	0.0462	0.188	"GSE14814"
"HSPB1"	71	1.99	0.0466	0.189	"GSE14814"
"GRHL2"	46	1.96	0.0495	0.197	"GSE14814"
"HOMER3"	76	1.96	0.0499	0.198	"GSE14814"
"KEAP1"	122	1.96	0.0503	0.199	"GSE14814"
"MAZ"	56	1.95	0.0506	0.199	"GSE14814"
"TAF2"	44	1.95	0.0507	0.199	"GSE14814"
"BID"	94	1.95	0.0514	0.201	"GSE14814"
"HMGB1"	56	1.94	0.0524	0.203	"GSE14814"
"FGFR2"	58	1.94	0.0525	0.203	"GSE14814"
"ZNHIT3"	48	1.94	0.0526	0.203	"GSE14814"
"FOXD1"	51	1.94	0.0527	0.203	"GSE14814"
"ANXA1"	53	1.94	0.0527	0.203	"GSE14814"
"PDCD11"	88	1.93	0.0531	0.204	"GSE14814"
"EBP"	51	1.93	0.0533	0.204	"GSE14814"
"PARP1"	103	1.93	0.054	0.206	"GSE14814"
"EGLN1"	64	1.92	0.0543	0.206	"GSE14814"
"BMP7"	115	1.92	0.0546	0.206	"GSE14814"
"ARF5"	53	1.92	0.0547	0.206	"GSE14814"
"ITGB3BP"	69	1.92	0.0547	0.206	"GSE14814"
"ITGB4"	61	1.92	0.0555	0.208	"GSE14814"
"HCAR3"	84	1.91	0.0556	0.208	"GSE14814"
"GTF2IRD1"	30	1.91	0.0557	0.208	"GSE14814"
"LRPPRC"	112	1.91	0.0558	0.208	"GSE14814"
"HOXA10"	29	1.91	0.0564	0.21	"GSE14814"
"RPL6"	88	1.9	0.0569	0.212	"GSE14814"
"IMPA2"	39	1.9	0.0571	0.212	"GSE14814"
"GOLT1B"	31	1.9	0.0572	0.212	"GSE14814"
"SPOCK1"	49	1.9	0.0572	0.212	"GSE14814"
"DGKA"	65	1.9	0.0573	0.212	"GSE14814"
"SUB1"	62	1.89	0.0587	0.215	"GSE14814"
"NAA15"	43	1.89	0.0588	0.215	"GSE14814"
"PIK3CA"	65	1.88	0.06	0.219	"GSE14814"
"PHF10"	28	1.88	0.0602	0.219	"GSE14814"
"NFE2L2"	83	1.88	0.0604	0.22	"GSE14814"
"MXD1"	32	1.87	0.0611	0.222	"GSE14814"
"TBL1X"	48	1.87	0.0614	0.222	"GSE14814"
"ESF1"	50	1.87	0.0615	0.222	"GSE14814"
"MXI1"	30	1.87	0.0617	0.222	"GSE14814"
"TWIST1"	60	1.86	0.0632	0.226	"GSE14814"
"PRMT5"	91	1.86	0.0634	0.226	"GSE14814"
"UTP11"	48	1.85	0.0644	0.229	"GSE14814"
"C1QBP"	146	1.85	0.065	0.231	"GSE14814"
"PRDX2"	102	1.84	0.0651	0.231	"GSE14814"
"ZC3H15"	81	1.84	0.0652	0.231	"GSE14814"
"ZFYVE9"	29	1.84	0.0662	0.233	"GSE14814"
"GPSM2"	28	1.83	0.0667	0.233	"GSE14814"
"GID4"	33	1.83	0.0669	0.233	"GSE14814"
"NACA"	32	1.83	0.0669	0.233	"GSE14814"
"MBD2"	100	1.83	0.067	0.233	"GSE14814"
"CDK4"	126	1.83	0.0675	0.235	"GSE14814"
"ATP2C1"	36	1.83	0.0676	0.235	"GSE14814"
"RPS3"	44	1.82	0.0686	0.237	"GSE14814"
"WDR77"	68	1.82	0.0687	0.237	"GSE14814"
"SAFB"	37	1.82	0.0688	0.237	"GSE14814"
"NUP62"	77	1.82	0.0689	0.237	"GSE14814"
"DNMT1"	58	1.82	0.069	0.237	"GSE14814"
"POLD1"	44	1.81	0.0698	0.239	"GSE14814"
"TXNRD1"	64	1.81	0.0706	0.241	"GSE14814"
"TFB2M"	93	1.81	0.0707	0.241	"GSE14814"
"GLI2"	38	1.8	0.0712	0.242	"GSE14814"
"PUF60"	106	1.8	0.0716	0.243	"GSE14814"
"RUVBL2"	153	1.8	0.0717	0.243	"GSE14814"
"NONO"	83	1.8	0.0719	0.243	"GSE14814"
"HSF1"	56	1.8	0.0726	0.245	"GSE14814"
"SAP18"	28	1.79	0.0732	0.246	"GSE14814"
"SRC"	29	1.79	0.0739	0.248	"GSE14814"
"SMARCB1"	38	1.79	0.0741	0.248	"GSE14814"
"PRDM13"	49	1.78	0.0744	0.249	"GSE14814"
"FANCG"	55	1.78	0.075	0.25	"GSE14814"
"SREBF2"	43	1.78	0.0755	0.251	"GSE14814"
"MRPL28"	67	1.77	0.077	0.254	"GSE14814"
"APPL2"	27	1.76	0.0784	0.258	"GSE14814"
"PALB2"	43	1.75	0.0793	0.261	"GSE14814"
"SH3GL1"	76	1.75	0.0797	0.262	"GSE14814"
"HBS1L"	51	1.75	0.0799	0.262	"GSE14814"
"RAD1"	34	1.75	0.0801	0.262	"GSE14814"
"NELFB"	86	1.75	0.081	0.265	"GSE14814"
"BRD7"	44	1.73	0.0829	0.27	"GSE14814"
"DRAP1"	48	1.73	0.0831	0.27	"GSE14814"
"TP53"	37	1.72	0.0848	0.275	"GSE14814"
"EPHB3"	35	1.72	0.0849	0.275	"GSE14814"
"CYP26A1"	30	1.72	0.0851	0.276	"GSE14814"
"VAV2"	31	1.72	0.0856	0.277	"GSE14814"
"PTCH1"	38	1.72	0.0861	0.277	"GSE14814"
"TRIM16"	100	1.72	0.0863	0.277	"GSE14814"
"P2RY1"	37	1.71	0.0865	0.278	"GSE14814"
"STAT2"	25	1.71	0.087	0.279	"GSE14814"
"HMGA2"	26	1.71	0.0874	0.279	"GSE14814"
"CBLC"	60	1.71	0.0874	0.279	"GSE14814"
"TPRA1"	53	1.7	0.0887	0.281	"GSE14814"
"CAD"	96	1.69	0.0903	0.285	"GSE14814"
"ILF3"	108	1.69	0.0911	0.287	"GSE14814"
"ACAP2"	54	1.69	0.0915	0.288	"GSE14814"
"FASTK"	38	1.69	0.0918	0.289	"GSE14814"
"MSH2"	67	1.68	0.0927	0.291	"GSE14814"
"DIABLO"	69	1.68	0.0933	0.293	"GSE14814"
"TRIP6"	52	1.67	0.0944	0.294	"GSE14814"
"PPP4C"	78	1.67	0.0955	0.297	"GSE14814"
"RND3"	75	1.67	0.0957	0.297	"GSE14814"
"TRPS1"	36	1.66	0.0959	0.297	"GSE14814"
"ADA"	46	1.66	0.096	0.297	"GSE14814"
"MBD3"	89	1.66	0.0966	0.298	"GSE14814"
"PLXNA1"	32	1.66	0.097	0.299	"GSE14814"
"NEDD8"	49	1.66	0.0973	0.3	"GSE14814"
"CRKL"	74	1.66	0.0977	0.301	"GSE14814"
"MRE11"	34	1.64	0.1	0.306	"GSE14814"
"TAF15"	34	1.63	0.102	0.31	"GSE14814"
"ZFPL1"	41	1.63	0.103	0.31	"GSE14814"
"RAB5C"	28	1.63	0.103	0.311	"GSE14814"
"NOLC1"	63	1.63	0.103	0.311	"GSE14814"
"POLR3K"	49	1.63	0.104	0.312	"GSE14814"
"ARHGEF5"	99	1.63	0.104	0.312	"GSE14814"
"GMFB"	47	1.63	0.104	0.312	"GSE14814"
"CHIC2"	46	1.62	0.105	0.315	"GSE14814"
"IL1A"	39	1.62	0.106	0.317	"GSE14814"
"KDM3A"	42	1.61	0.107	0.318	"GSE14814"
"E2F1"	29	1.61	0.108	0.32	"GSE14814"
"RIT1"	53	1.61	0.108	0.32	"GSE14814"
"VLDLR"	30	1.6	0.11	0.324	"GSE14814"
"HDGF"	60	1.6	0.111	0.326	"GSE14814"
"TSPO"	69	1.59	0.111	0.326	"GSE14814"
"ATG5"	86	1.59	0.111	0.326	"GSE14814"
"RAPGEF6"	53	-1.59	0.112	0.327	"GSE14814"
"CREBL2"	112	-1.59	0.112	0.327	"GSE14814"
"MAP3K14"	56	-1.59	0.111	0.326	"GSE14814"
"SKAP1"	32	-1.6	0.11	0.325	"GSE14814"
"ITSN1"	43	-1.6	0.11	0.325	"GSE14814"
"RASSF7"	63	-1.6	0.11	0.324	"GSE14814"
"MECP2"	35	-1.6	0.109	0.324	"GSE14814"
"ZNF91"	33	-1.6	0.109	0.324	"GSE14814"
"CFLAR"	31	-1.6	0.109	0.323	"GSE14814"
"NR0B2"	51	-1.61	0.108	0.32	"GSE14814"
"BCOR"	62	-1.61	0.107	0.318	"GSE14814"
"APH1B"	40	-1.61	0.107	0.318	"GSE14814"
"TRIO"	27	-1.62	0.106	0.317	"GSE14814"
"SP140"	39	-1.62	0.105	0.315	"GSE14814"
"NFATC3"	35	-1.62	0.104	0.313	"GSE14814"
"FYB1"	33	-1.62	0.104	0.313	"GSE14814"
"SPIB"	36	-1.63	0.104	0.312	"GSE14814"
"TFE3"	108	-1.63	0.103	0.311	"GSE14814"
"PLEKHM1"	46	-1.63	0.103	0.31	"GSE14814"
"ITGA3"	61	-1.63	0.103	0.31	"GSE14814"
"RHOA"	86	-1.63	0.102	0.31	"GSE14814"
"PPP3CB"	57	-1.64	0.102	0.31	"GSE14814"
"TCEA2"	33	-1.64	0.102	0.309	"GSE14814"
